urdu,roman
آؤ,aao
آو,aao
آئی,aai
آئیں,aaien
آئے,aye
آج,aaj
آجاؤ,aajao
آجائیں,aajien
آجائیے,aajiye
آجاو,aajao
آجکل,aajkal
آپ,aap
آپکا,aapka
آپکو,aapka
آپکی,aapki
آیا,aya
اب,ab
ابھی,abhi
اس,is
اسطرح,istrh
اسکا,iska
اسکی,iski
اسکے,iskay
اسی,isi
اسے,isy
الگ,alag
ان,un
انکا,inka
انکی,inki
انکے,inkay
انھوں,inhon
انھیں,inhain
انہیں,inhain
اور,aur
اونچا,uncha
اونچی,unchi
اونچے,unchay
اوپر,upar
اپنا,apna
اپنی,apni
اپنے,apnay
اکثر,aksar
اگر,agar
اگرچہ,agarcha
اہم,aham
بائیں,baien
بار,bar
بارے,baray
باہر,bahar
باہم,baham
بذریعہ,bazaria
بس,bs
بظاہر,bazahir
بعد,bad
بغیر,baghair
بلاشبہ,bilashuba
بند,band
بہت,bohat
بھی,bhi
بیشتر,bashter
بیشک,beshak
بےشک,beshak
تاہم,taham
تب,tb
تجھ,tujh
تجھے,tujhey
تر,tr
ترین,trien
تعداد,tadad
تلک,tlak
تم,tum
تمام,tamam
تمکو,tumko
تمھارا,tumhara
تمھاری,tumhari
تمھارے,tumharay
تمھیں,tumhain
تمہارا,tumhara
تمہاری,tumhari
تمہارے,tumharay
تمہیں,tumhain
تو,tou
تک,tak
تھا,tha
تھی,thi
تھیں,thien
تھے,thay
تیسرا,tesra
تیسری,tesri
تیسرے,tesray
جائیں,jien
جاتا,jata
جاتی,jati
جاتے,jatay
جانا,jana
جانے,janay
جائے,jaye
جب,jab
جبہی,jabhi
جبھی,jabhi
جبکہ,jabky
جو,jo
جہاں,jahan
جیسا,jesa
جیساکہ,jesaky
جیسی,jesi
جیسے,jesay
خود,khud
دائیں,dien
درمیان,darmiyan
دفعہ,dafa
دو,do
دور,door
دوران,doran
دوسرا,dusra
دوسری,dusri
دوسرے,dusray
دونوں,dono
دی,di
دیا,diya
دینا,dena
دینی,deni
دینے,denay
دیکھا,dekha
دیکھو,dekho
دیکھی,dekhi
دیکھیں,dekhain
دے,dy
رکھ,rakh
رکھا,rakha
رکھی,rakhi
رکھیں,rakhien
رکھے,rakhy
رہ,reh
رہا,raha
رہی,rahi
رہیں,rahain
رہے,rahay
زیادہ,zayada
ساتھ,sath
سارا,sara
ساری,sari
سارے,sary
سب,sab
سبھی,sabhi
سبہی,sabhi
سکتا,sakta
سکتی,sakti
سکتیں,saktain
سکتے,saktay
سوا,sawa
سے,sy
شاید,shayad
شدہ,shuda
صحیح:,sahih
صرف,sirf
طرح,tarah
طرف,taraf
غلط,ghalat
غیر,ghair
لئے,liye
لا,la
لازمی,lazmi
لو,lo
لگا,laga
لگی,lagi
لگیں,lagien
لگے,lagay
لی,li
لیا,liya
لینا,lena
لینی,leni
لینے,lenay
لیکن,lekin
لیے,liye
لیئے,liye
لے,la
مجھ,mujh
مجھکو,mujhko
مجھے,mujhey
مرتبہ,martabah
مزید,mazeed
مشتمل,mushtamil
مل,mil
ملا,mila
ملو,milo
ملی,mili
ملے,milay
مگر,maghar
میرا,mera
میری,meri
میرے,meray
میں,main
نا,na
نھیں,nahin
نہ,nah
نہیں,nahin
نیچا,necha
نیچی,nechi
نیچے,nechay
نے,nay
و,wa
والا,wala
والوں,walon
والی,wali
والے,waly
وہ,woh
وہاں,wahan
وہی,wahi
ویں,wain
پاس,pas
پر,par
پڑا,para
پڑے,paray
پڑی,pari
پورا,pora
پوری,pori
پورے,poray
پھر,phir
پھرو,phiro
پھری,phiri
پھرے,phiray
پہلا,pehla
پہلی,pehli
پہلے,pehlay
چاہا,chaha
چاہتا,chahta
چاہتی,chahti
چاہتے,chahti
چاہیئے,chahiye
چاہیے,chahiye
چکا,chuka
چکی,chuki
چکیں,chukain
چکے,chukay
کا,ka
کب,kab
کبھی,kabhi
کتنا,kitna
کر,kar
کرتے,karty
کرنا,karna
کرنی,karni
کرنیکا,karnyka
کرنیکی,karnyki
کرنیکے,karnyky
کرنے,karnay
کرو,karo
کروانا,karwana
کریں,karain
کرینگے,karaingy
کس,kis
کسی,kesi
کل,kal
کم,kam
کمی,kami
کو,ko
کوئی,koi
کون,kon
کچھ,kuch
کہ,keh
کہا,kaha
کہاں,kahan
کہتا,kehta
کہتی,kehti
کہتے,kehty
کہنا,kehna
کہنی,kehni
کہنے,kehny
کہو,kaho
کہوں,kahon
کہیں,kahain
کہے,kahay
کی,ki
کیا,kya
کیجئے,kijiye
کیجیے,kijiye
کیساتھ,kaysath
کیسے,kesay
کیلئے,kyliye
کیلیے,kyliye
کیوں,kyon
کے,kay
گا,ga
ہوگئ,hogi
گئی,hogi
گئیں,gain
گئے,gaye
گی,gi
گیا,gaya
گے,ga
ہاں,han
ہر,hr
ہم,hum
ہمارا,hamara
ہماری,hamari
ہمارے,hamary
ہمیں,hamain
ہو,ho
ہوئے,hoey
ہوا,hoa
ہونا,hona
ہونگا,honga
ہونگی,hongi
ہونگے,hongy
ہونی,honi
ہونے,hony
ہوچکا,hochuka
ہوچکی,hochuki
ہوگئی,hogi
ہوگا,hoga
ہوگی,hogi
ہوگیا,hogaya
ہوگے,hogy
ہوگئے,hogy
ہوں,hon
ہوے,hoey
ہی,hi
ہیں,hain
ہے,hay
یوں,yon
یہ,yeh
یہاں,yahan
ہوئی,hui
